
2dd86234-817c-4969-95e0-69f39118f02b, 2023-12-10 14:00:37.068825, QUIZ, START, 
2dd86234-817c-4969-95e0-69f39118f02b, 2023-12-10 14:00:49.829898, QUESTION 1, SUBMIT, answer=A; correct=True; graph=line; 
2dd86234-817c-4969-95e0-69f39118f02b, 2023-12-10 14:01:02.350338, QUESTION 2, SUBMIT, answer=A; correct=True; graph=line; 
2dd86234-817c-4969-95e0-69f39118f02b, 2023-12-10 14:01:10.291877, QUESTION 3, SUBMIT, answer=A; correct=True; graph=area; 
2dd86234-817c-4969-95e0-69f39118f02b, 2023-12-10 14:01:16.602663, QUESTION 4, SUBMIT, answer=A; correct=True; graph=area; 
2dd86234-817c-4969-95e0-69f39118f02b, 2023-12-10 14:01:31.894524, QUESTION 5, SUBMIT, answer=B; correct=True; graph=line; 
2dd86234-817c-4969-95e0-69f39118f02b, 2023-12-10 14:01:47.821556, QUESTION 6, SUBMIT, answer=25; correct=True; graph=line; 
2dd86234-817c-4969-95e0-69f39118f02b, 2023-12-10 14:02:04.928588, QUESTION 7, SUBMIT, answer=B; correct=True; graph=area; 
2dd86234-817c-4969-95e0-69f39118f02b, 2023-12-10 14:02:32.203963, QUESTION 8, SUBMIT, answer=35; correct=False; graph=area; 
2dd86234-817c-4969-95e0-69f39118f02b, 2023-12-10 14:03:10.539012, QUESTION 9, SUBMIT, answer=3; correct=True; graph=line; 
2dd86234-817c-4969-95e0-69f39118f02b, 2023-12-10 14:03:38.847621, QUESTION 10, SUBMIT, answer=2; correct=True; graph=line; 
2dd86234-817c-4969-95e0-69f39118f02b, 2023-12-10 14:03:42.307077, QUESTION 11, SUBMIT, answer=2; correct=True; graph=area; 
2dd86234-817c-4969-95e0-69f39118f02b, 2023-12-10 14:03:44.347096, QUESTION 12, SUBMIT, answer=1; correct=True; graph=area; 
2dd86234-817c-4969-95e0-69f39118f02b, 2023-12-10 14:03:49.524598, QUESTION 13, SUBMIT, answer=1; correct=True; graph=line; 
2dd86234-817c-4969-95e0-69f39118f02b, 2023-12-10 14:03:54.716475, QUESTION 14, SUBMIT, answer=1; correct=True; graph=area; 
2dd86234-817c-4969-95e0-69f39118f02b, 2023-12-10 14:04:07.308031, QUESTION 15, SUBMIT, answer=GER; correct=False; graph=line; 
2dd86234-817c-4969-95e0-69f39118f02b, 2023-12-10 14:04:11.321753, QUESTION 16, SUBMIT, answer=JP; correct=True; graph=line; 
2dd86234-817c-4969-95e0-69f39118f02b, 2023-12-10 14:04:22.105807, QUESTION 17, SUBMIT, answer=GER; correct=True; graph=area; 
2dd86234-817c-4969-95e0-69f39118f02b, 2023-12-10 14:04:30.329812, QUESTION 18, SUBMIT, answer=GER; correct=True; graph=area; 
2dd86234-817c-4969-95e0-69f39118f02b, 2023-12-10 14:04:38.210083, QUESTION 19, SUBMIT, answer=Yes; correct=True; graph=mix; 
2dd86234-817c-4969-95e0-69f39118f02b, 2023-12-10 14:04:47.530899, QUESTION 20, SUBMIT, answer=No; correct=True; graph=mix; 
2dd86234-817c-4969-95e0-69f39118f02b, 2023-12-10 14:04:50.319857, QUESTION 21, SUBMIT, answer=line; correct=False; graph=N/A; 
2dd86234-817c-4969-95e0-69f39118f02b, 2023-12-10 14:04:50.319857, QUIZ, END, 
